id,Moneda,Precio,Dormitorios,Banos,Superficie_m2,Direccion,Comuna
261,UF,2150,3,2,66.0,Parque Los Reyes,Santiago
262,UF,1663,2,2,42.0,Parque Almagro,Santiago
263,UF,2200,2,2,48.0,Parque Almagro,Santiago
264,UF,2620,2,1,41.0,Barrio Lastarria,Santiago
265,UF,1918,2,2,42.0,Barrio Yungay,Santiago
266,UF,4400,2,2,57.0,Barrio República,Santiago
267,UF,2890,2,1,38.0,Parque Almagro,Santiago
268,UF,3300,2,2,58.0,Parque Almagro,Santiago
269,UF,1714,1,1,30.0,Bulnes,Santiago
270,$,120000000,3,2,120.0,Centro Histórico De Santiago,Santiago
271,UF,1760,1,1,36.0,Ejército - Toesca,Santiago
272,UF,3100,2,2,55.0,Santa Isabel,Santiago
273,UF,2800,3,2,61.0,Santa Isabel,Santiago
274,UF,2650,1,1,33.0,San Diego,Santiago
275,UF,5000,2,2,86.0,Barrio Lastarria,Santiago
276,UF,1690,1,1,26.0,Barrio Yungay,Santiago
277,UF,1500,1,1,30.0,Barrio Diez De Julio,Santiago
278,UF,3500,2,2,49.0,Centro Histórico De Santiago,Santiago
279,UF,2000,2,1,37.0,Bogotá - Sierra Bella,Santiago
280,UF,2500,2,1,45.0,Departamento en venta | Venta Departamento Excelente Ubicación | Por Property Partners | UF | 2.500 | 2 dormitorios | 1 baño | 45 m² útiles | Santiago,Santa Isabel
281,UF,1320,1,1,30.0,Santiag... | Por Property Partners | UF | 1.320 | 1 dormitorio | 1 baño | 30 m² útiles | Santiago,Centro Histórico De Santiago
282,UF,2731,4,1,70.0,Departamento en venta | Departamento Vista Al Cerro Santa Lucía | Por Property Partners | UF | 2.731 | 4 dormitorios | 1 baño | 70 m² útiles | Santiago,Barrio San Borja
283,UF,3700,2,2,58.0,Centro Histórico De Santiago,Santiago
284,UF,4100,1,1,65.0,Centro Histórico De Santiago,Santiago
285,UF,3900,1,2,40.0,Centro Histórico De Santiago,Santiago
286,UF,3550,3,2,68.0,Ejército - Toesca,Santiago
287,UF,4900,3,2,100.0,Bulnes,Santiago
288,UF,4100,2,2,55.0,Parque Almagro,Santiago
289,UF,2550,2,2,50.0,Barrio Brasil,Santiago
290,UF,2750,1,1,33.0,San Diego,Santiago
291,UF,2750,1,1,33.0,San Diego,Santiago
292,UF,2750,1,1,33.0,Santa Isabel,Santiago
293,UF,3000,1,1,33.0,Santa Isabel,Santiago
294,UF,1990,1,1,35.0,Santa Isabel,Santiago
295,UF,3300,3,2,64.0,Parque O'Higgins,Santiago
296,UF,3000,2,2,54.0,Parque O'Higgins,Santiago
297,UF,2300,2,2,55.0,Parque Almagro,Santiago
298,UF,2630,2,2,50.0,Parque Los Reyes,Santiago
299,UF,2600,3,2,83.0,Centro Histórico De Santiago,Santiago
300,UF,2200,2,2,52.0,Barrio Brasil,Santiago
301,UF,3150,2,2,60.0,Centro Histórico De Santiago,Santiago
302,UF,17000,2,3,132.0,Barrio República,Santiago
303,UF,2620,2,1,42.0,Bulnes,Santiago
304,UF,1850,1,1,33.0,Parque Almagro,Santiago
305,UF,3214,3,2,60.0,Santa Isabel,Santiago
306,UF,2390,2,1,46.0,Centro Histórico De Santiago,Santiago
307,UF,1950,1,1,34.0,Barrio República,Santiago
308,UF,2190,2,1,43.0,Parque Almagro,Santiago
309,UF,2390,2,2,45.0,Parque Almagro,Santiago
310,UF,1586,2,1,36.0,Parque O'Higgins,Santiago
311,UF,2440,2,2,61.0,San Diego,Santiago
312,UF,3200,2,2,62.0,Santa Isabel,Santiago
313,UF,1742,1,1,34.0,San Diego,Santiago
314,UF,1800,1,1,31.0,Santa Isabel,Santiago
315,UF,1870,1,1,21.0,Parque O'Higgins,Santiago
316,UF,4300,1,1,60.0,Ejército - Toesca,Santiago
317,UF,4000,3,2,82.0,Santa Isabel,Santiago
318,UF,2000,3,1,50.0,Parque Los Reyes,Santiago
319,UF,6650,3,3,107.0,Centro Histórico De Santiago,Santiago
320,UF,1500,1,1,30.0,Santa Isabel,Santiago
321,UF,3266,2,2,65.0,Santa Isabel,Santiago
322,UF,2190,1,1,30.0,Bulnes,Santiago
323,UF,2500,2,1,44.0,Centro Histórico De Santiago,Santiago
324,UF,3910,4,2,89.0,Barrio República,Santiago
325,UF,3715,4,2,86.0,Franklin - Biobío,Santiago
326,UF,3000,2,2,58.0,Santa Isabel,Santiago
327,UF,2390,2,1,50.0,Santa Isabel,Santiago
328,UF,1900,1,1,30.0,Santa Isabel,Santiago
329,UF,2750,2,2,46.0,Santa Isabel,Santiago
330,UF,1520,1,1,29.0,Centro Histórico De Santiago,Santiago
331,UF,1410,1,1,26.0,Parque O'Higgins,Santiago
332,UF,2592,2,2,57.0,Franklin - Biobío,Santiago
333,UF,3931,3,2,89.0,Franklin - Biobío,Santiago
334,UF,5500,4,2,143.0,Centro Histórico De Santiago,Santiago
335,UF,2400,2,1,46.0,Parque O'Higgins,Santiago
336,UF,4000,2,2,2.0,Barrio Diez De Julio,Santiago
337,UF,3200,2,2,42.0,Parque O'Higgins,Santiago
338,UF,4290,2,2,45.0,Santa Isabel,Santiago
339,UF,2820,1,1,34.0,Parque O'Higgins,Santiago
340,UF,1790,1,1,20.0,Parque O'Higgins,Santiago
341,UF,2500,2,1,45.0,Parque O'Higgins,Santiago
342,UF,3000,3,2,60.0,Barrio Yungay,Santiago
343,UF,1690,1,1,33.0,San Diego,Santiago
344,UF,1950,1,1,21.0,Barrio Yungay,Santiago
345,UF,1725,2,2,43.0,Franklin - Biobío,Santiago
346,UF,2950,3,2,71.0,Centro Histórico De Santiago,Santiago
347,UF,1649,2,1,33.0,Franklin - Biobío,Santiago
348,UF,1899,1,1,34.0,Centro Histórico De Santiago,Santiago
349,$,120000000,3,1,48.0,Parque Los Reyes,Santiago
350,UF,1700,3,1,51.0,Centro Histórico De Santiago,Santiago
351,UF,3000,2,2,57.0,Santa Isabel,Santiago
352,UF,2600,2,2,45.0,Barrio República,Santiago
353,UF,2782,1,1,31.0,Bogotá - Sierra Bella,Santiago
354,UF,2792,1,1,31.0,Bogotá - Sierra Bella,Santiago
355,$,79800000,1,1,32.0,Santa Isabel,Santiago
356,UF,3055,1,1,32.0,Bogotá - Sierra Bella,Santiago
357,UF,4423,2,2,50.0,Bogotá - Sierra Bella,Santiago
358,UF,4156,2,2,50.0,Bogotá - Sierra Bella,Santiago
359,UF,2961,1,1,32.0,Bogotá - Sierra Bella,Santiago
360,UF,2600,2,2,45.0,Ejército - Toesca,Santiago
361,UF,1990,2,2,45.0,Franklin - Biobío,Santiago
362,UF,1800,1,1,32.0,Bulnes,Santiago
363,UF,3050,2,2,58.0,Santa Isabel,Santiago
364,UF,5090,2,2,54.0,Ejército - Toesca,Santiago
365,UF,1755,1,1,31.0,Franklin - Biobío,Santiago
366,UF,3950,2,2,61.0,Bogotá - Sierra Bella,Santiago
367,UF,2126,1,1,28.0,Franklin - Biobío,Santiago
368,UF,3100,2,2,47.0,Parque O'Higgins,Santiago
369,UF,2640,1,1,33.0,Parque O'Higgins,Santiago
370,UF,2750,2,1,44.0,Parque O'Higgins,Santiago
371,UF,2390,2,1,53.0,Parque Almagro,Santiago
372,UF,2402,2,2,45.0,Franklin - Biobío,Santiago
373,UF,3849,2,1,49.0,Santa Isabel,Santiago
374,UF,2000,1,1,29.0,Bogotá - Sierra Bella,Santiago
375,UF,3180,1,1,36.0,Ejército - Toesca,Santiago
376,UF,2500,1,1,25.0,Ejército - Toesca,Santiago
377,UF,4599,5,3,150.0,Bulnes,Santiago
378,UF,2099,2,2,45.0,Santa Isabel,Santiago
379,UF,3190,2,2,58.0,Santa Isabel,Santiago
380,UF,1790,1,1,31.0,Centro Histórico De Santiago,Santiago
381,UF,2290,2,1,44.0,Bulnes,Santiago
382,UF,1700,1,1,31.0,Centro Histórico De Santiago,Santiago
383,UF,3400,2,2,47.0,Santa Isabel,Santiago
384,UF,2665,1,1,29.0,Santa Isabel,Santiago
385,UF,2106,1,1,30.0,Santa Isabel,Santiago
386,UF,2650,2,2,56.0,Centro Histórico De Santiago,Santiago
387,UF,2800,2,2,45.0,Santa Isabel,Santiago
388,UF,3500,2,2,50.0,San Diego,Santiago
389,UF,2960,1,1,29.0,Bogotá - Sierra Bella,Santiago
390,UF,1990,1,1,35.0,Parque Los Reyes,Santiago
391,UF,1490,1,1,35.0,Centro Histórico De Santiago,Santiago
392,UF,2100,2,2,46.0,Parque Los Reyes,Santiago
393,UF,3450,3,2,60.0,Santa Isabel,Santiago
394,UF,3623,2,1,47.0,Bogotá - Sierra Bella,Santiago
395,UF,3953,3,2,89.0,Franklin - Biobío,Santiago
396,UF,2290,1,1,40.0,Centro Histórico De Santiago,Santiago
397,UF,3090,2,2,50.0,Barrio Diez De Julio,Santiago
398,UF,1950,1,1,29.0,Santa Isabel,Santiago
399,UF,2290,1,1,40.0,Centro Histórico De Santiago,Santiago
400,UF,4930,3,2,72.0,Bulnes,Santiago
401,UF,1420,1,1,27.0,Parque Almagro,Santiago
402,UF,3100,2,1,50.0,Centro Histórico De Santiago,Santiago
403,UF,1891,1,1,21.0,Centro Histórico De Santiago,Santiago
404,UF,2150,1,1,32.0,San Diego,Santiago
405,UF,3000,2,2,60.0,Barrio Diez De Julio,Santiago
406,UF,1755,1,1,30.0,Bogotá - Sierra Bella,Santiago
407,UF,2090,1,1,43.0,Centro Histórico De Santiago,Santiago
408,UF,4000,4,3,120.0,San Diego,Santiago
409,UF,2402,1,1,45.0,Bogotá - Sierra Bella,Santiago
410,UF,2980,2,1,48.0,Bogotá - Sierra Bella,Santiago
411,UF,7500,4,3,157.0,Barrio Lastarria,Santiago
412,UF,2594,1,1,36.0,Parque Los Reyes,Santiago
413,UF,2413,2,2,41.0,Parque Almagro,Santiago
414,UF,2600,2,2,44.0,Bulnes,Santiago
415,UF,2918,2,1,44.0,Parque Los Reyes,Santiago
416,UF,2594,1,1,35.0,Parque Los Reyes,Santiago
417,$,67900000,1,1,29.0,Parque Almagro,Santiago
418,UF,1800,1,1,30.0,Bogotá - Sierra Bella,Santiago
419,UF,3545,2,2,45.0,Parque Los Reyes,Santiago
420,UF,3536,2,2,58.0,Parque Los Reyes,Santiago
421,UF,3956,2,2,58.0,Parque Los Reyes,Santiago
422,UF,2200,1,1,42.0,Barrio Lastarria,Santiago
423,$,71000000,1,1,28.0,Santa Isabel,Santiago
424,UF,2370,2,2,50.0,Bulnes,Santiago
425,$,149300000,3,1,65.0,Santa Isabel,Santiago
426,UF,3051,3,2,57.0,Santa Isabel,Santiago
427,UF,2865,3,2,63.0,Barrio Yungay,Santiago
428,UF,1520,1,1,25.0,Barrio Brasil,Santiago
429,UF,1750,1,1,32.0,Bulnes,Santiago
430,UF,1100,1,1,20.0,Centro Histórico De Santiago,Santiago
431,UF,1400,1,1,31.0,Centro Histórico De Santiago,Santiago
